sjm,pjm,wj,zjm,etajm,xijm,X1jm,X2jm,X3jm,m,j
5.1879758962001755e-05,6.342124353514706,1.2098654295113629,0.8070185884418102,1.5757717516928877,-0.3664934402472893,1.0,0.6243472247093319,-0.3675935329234237,0,0
0.7184428240756918,1.9304037342233142,-0.7536431488543346,-0.3642258184106924,-1.1669846988100225,1.1615769631995057,1.0,0.1270525823227886,1.2737845739046483,0,1
0.11975105522418236,2.3717066648395693,-0.03502376143243532,-0.6422382924044984,0.4287361499031082,-0.3488059589960257,1.0,0.8317634353153069,1.1518993392142305,0,2
0.09316642673067035,2.4640499713317974,1.2098654295113629,0.745363200352734,-2.201109840690783,1.3196429295356844,1.0,0.41183619202511124,1.213139496665692,1,0
0.13809402890914912,1.168595469646636,-0.7536431488543346,-0.7714454852611863,0.20674563883304647,0.2906792565825301,1.0,0.8022764174872975,-0.19638495205537815,1,1
0.6983797433356875,1.1541623911968104,-0.03502376143243532,-0.7543481204802012,-1.543298251429562,0.6744702606612338,1.0,0.7477261077312575,1.0604927096598096,1,2
0.18534406333784728,2.780759402037808,1.2098654295113629,-1.3164477664143668,0.01800726027010193,1.145289821007229,1.0,0.34446708637501855,0.40050753020894503,2,0
0.15522337804427333,2.401399572036775,-0.7536431488543346,0.909256399765231,-0.5189763655873725,-0.7278308369083739,1.0,0.8087291556817388,1.0117090833404552,2,1
0.541569398724789,0.5927121276496372,-0.03502376143243532,-0.25429905411892223,-2.180848021873118,-0.7355461226139379,1.0,0.061906066059812415,-0.5971095208852693,2,2
0.004938763915557564,3.9824882351646624,1.2098654295113629,0.046423370243323804,0.023522241621982395,-2.585715873190963,1.0,0.2316167463922153,1.4718884478733576,3,0
0.5945090658089672,1.9009857665630556,-0.7536431488543346,-0.9525632193874745,-0.10804994831903765,-1.1409707374688232,1.0,0.5538953680292945,1.1741791684719547,3,1
0.11073294047078895,2.4020386056802745,-0.03502376143243532,-0.5811263555386892,0.3313223515270548,-0.990116709337898,1.0,0.6230247307536263,0.15513727289431442,3,2
0.034880811631342615,2.77080827553891,1.2098654295113629,-0.9844026322700944,-0.09318870372477608,-1.376221130320064,1.0,0.20219877945440512,0.9471455485871708,4,0
0.4527170178675008,1.781603267518916,-0.7536431488543346,0.4605527994286716,-0.9502710925935905,-0.28359550989830606,1.0,0.5374920929120383,0.31956682550576343,4,1
0.26348398222890446,1.9887270425929786,-0.03502376143243532,-0.016837505774834435,-0.72235687770994,-0.6154131790201811,1.0,0.355198384661617,0.6892443886245687,4,2
0.09866065489208577,4.536963322151738,1.2098654295113629,-0.41431378259252993,0.8762801368924916,0.6024700011745434,1.0,0.167165170098317,0.5550124109686686,5,0
0.18190238678768214,3.953262160366733,-0.7536431488543346,1.0451255336563028,0.6699006541843999,1.0016953650503961,1.0,0.15138528525727435,-0.0636341943913776,5,1
0.0819868102332311,4.297002321802107,-0.03502376143243532,-0.6126952448803776,2.129918860202831,-0.35440611920761445,1.0,0.9527700116756167,0.19637454311559127,5,2
0.2503874190181479,3.274130172186965,1.2098654295113629,-1.2300502859385305,0.26656606956624657,0.8442196005875328,1.0,0.8331714440562717,-1.1331810766328114,6,0
0.12144995522102361,3.725350580099448,-0.7536431488543346,0.18583257617026663,1.4723403751423554,0.5762892186064457,1.0,0.12653330077417924,-0.1853695149401068,6,1
0.04451426652799278,4.4807541598024345,-0.03502376143243532,0.20537306970469124,1.5603969543459468,-0.09425739782175162,1.0,0.6152132521637605,0.11645309087560422,6,2
0.0003687310040934498,5.749859547195426,1.2098654295113629,2.1367563288863094,-0.3560664790654744,-1.8934916971150568,1.0,0.8315675875964496,-0.7110165100279005,7,0
0.699466970889376,1.1543330500176354,-0.7536431488543346,-0.8827155409430201,-1.1904128123796067,-0.2732193852109179,1.0,0.6439121825619751,-1.5159128400535313,7,1
0.016070838726910914,4.15201444554991,-0.03502376143243532,-0.24897582581122837,1.6941492144354253,-0.7567281700380613,1.0,0.7300907556589201,-0.14006668570675607,7,2
